Year,Category,Full Name,Birth Date,Birth Country,Death Country
1963,Medicine,Andrew Fielding Huxley,1917-11-22,United Kingdom,United Kingdom
1963,Peace,Comité international de la Croix Rouge (International Committee of the Red Cross),,,
1963,Peace,Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies),,,
1963,Physics,Eugene Paul Wigner,1902-11-17,Austria-Hungary (Hungary),United States of America
1963,Physics,Maria Goeppert Mayer,1906-06-28,Germany (Poland),United States of America
1963,Physics,J. Hans D. Jensen,1907-06-25,Germany,West Germany (Germany)
1964,Chemistry,Dorothy Crowfoot Hodgkin,1910-05-12,Egypt,United Kingdom
1964,Literature,Jean-Paul Sartre,1905-06-21,France,France
1964,Medicine,Konrad Bloch,1912-01-21,Germany (Poland),United States of America
1964,Medicine,Feodor Lynen,1911-04-06,Germany,Germany
1964,Peace,Martin Luther King Jr.,1929-01-15,United States of America,United States of America
1964,Physics,Charles Hard Townes,1915-07-28,United States of America,United States of America
1964,Physics,Nicolay Gennadiyevich Basov,1922-12-14,Union of Soviet Socialist Republics (Russia),Russia
1964,Physics,Aleksandr Mikhailovich Prokhorov,1916-07-11,Australia,Russia
1965,Chemistry,Robert Burns Woodward,1917-04-10,United States of America,United States of America
1965,Literature,Mikhail Aleksandrovich Sholokhov,1905-05-24,Russia,Union of Soviet Socialist Republics
1965,Medicine,François Jacob,1920-06-17,France,France
1965,Medicine,André Lwoff,1902-05-08,France,France
1965,Medicine,Jacques Monod,1910-02-09,France,France
1965,Peace,United Nations Children's Fund (UNICEF),,,
1965,Physics,Sin-Itiro Tomonaga,1906-03-31,Japan,Japan
1965,Physics,Julian Schwinger,1918-02-12,United States of America,United States of America
1965,Physics,Richard P. Feynman,1918-05-11,United States of America,United States of America
1966,Chemistry,Robert S. Mulliken,1896-06-07,United States of America,United States of America
1966,Literature,Shmuel Yosef Agnon,1888-07-17,Austria-Hungary (Ukraine),Israel
1966,Literature,Nelly Sachs,1891-12-10,Germany,Sweden
1966,Medicine,Peyton Rous,1879-10-05,United States of America,United States of America
1966,Medicine,Charles Brenton Huggins,1901-09-22,Canada,United States of America
1966,Physics,Alfred Kastler,1902-05-03,Germany (France),France
1967,Chemistry,Manfred Eigen,1927-05-09,Germany,
1967,Chemistry,Ronald George Wreyford Norrish,1897-11-09,United Kingdom,United Kingdom
1967,Chemistry,George Porter,1920-12-06,United Kingdom,United Kingdom
1967,Literature,Miguel Angel Asturias,1899-10-19,Guatemala,Spain
1967,Medicine,Ragnar Granit,1900-10-30,Russian Empire (Finland),Sweden
1967,Medicine,Haldan Keffer Hartline,1903-12-22,United States of America,United States of America
1967,Medicine,George Wald,1906-11-18,United States of America,United States of America
1967,Physics,Hans Albrecht Bethe,1906-07-02,Germany (France),United States of America
1968,Chemistry,Lars Onsager,1903-11-27,Norway,United States of America
1968,Literature,Yasunari Kawabata,1899-06-11,Japan,Japan
1968,Medicine,Robert W. Holley,1922-01-28,United States of America,United States of America
1968,Medicine,Har Gobind Khorana,1922-01-09,India,United States of America
1968,Medicine,Marshall W. Nirenberg,1927-04-10,United States of America,United States of America
1968,Peace,René Cassin,1887-10-05,France,France
1968,Physics,Luis Walter Alvarez,1911-06-13,United States of America,United States of America
1969,Chemistry,Derek H. R. Barton,1918-09-08,United Kingdom,United States of America
1969,Chemistry,Odd Hassel,1897-05-17,Norway,Norway
1969,Economics,Ragnar Frisch,1895-03-03,Norway,Norway
1969,Economics,Jan Tinbergen,1903-04-12,Netherlands,Netherlands
1969,Literature,Samuel Beckett,1906-04-13,Ireland,France
1969,Medicine,Max Delbrück,1906-09-04,Germany,United States of America
1969,Medicine,Alfred D. Hershey,1908-12-04,United States of America,United States of America
1969,Medicine,Salvador E. Luria,1912-08-13,Italy,United States of America
1969,Peace,International Labour Organization (I.L.O.),,,
1969,Physics,Murray Gell-Mann,1929-09-15,United States of America,
1970,Chemistry,Luis F. Leloir,1906-09-06,France,Argentina
1970,Economics,Paul A. Samuelson,1915-05-15,United States of America,United States of America
1970,Literature,Aleksandr Isayevich Solzhenitsyn,1918-12-11,Russia,Russia
1970,Medicine,Sir Bernard Katz,1911-03-26,Germany,United Kingdom
1970,Medicine,Ulf von Euler,1905-02-07,Sweden,Sweden
1970,Medicine,Julius Axelrod,1912-05-30,United States of America,United States of America
1970,Peace,Norman E. Borlaug,1914-03-25,United States of America,United States of America
1970,Physics,Hannes Olof Gösta Alfvén,1908-05-30,Sweden,Sweden
1970,Physics,Louis Eugène Félix Néel,1904-11-22,France,France
1971,Chemistry,Gerhard Herzberg,1904-12-25,Germany,Canada
1971,Economics,Simon Kuznets,1901-04-30,Russian Empire (Belarus),United States of America
1971,Literature,Pablo Neruda,1904-07-12,Chile,Chile
1971,Medicine,"Earl W. Sutherland, Jr.",1915-11-19,United States of America,United States of America
1971,Peace,Willy Brandt,1913-12-18,Germany,Germany
1971,Physics,Dennis Gabor,1900-06-05,Hungary,United Kingdom
1972,Chemistry,Christian B. Anfinsen,1916-03-26,United States of America,United States of America
1972,Chemistry,Stanford Moore,1913-09-04,United States of America,United States of America
1972,Chemistry,William H. Stein,1911-06-25,United States of America,United States of America
1972,Economics,John R. Hicks,1904-04-08,United Kingdom,United Kingdom
1972,Economics,Kenneth J. Arrow,1921-08-23,United States of America,
1972,Literature,Heinrich Böll,1917-12-21,Germany,West Germany (Germany)
1972,Medicine,Gerald M. Edelman,1929-07-01,United States of America,United States of America
1972,Medicine,Rodney R. Porter,1917-10-08,United Kingdom,United Kingdom
1972,Physics,John Bardeen,1908-05-23,United States of America,United States of America
1972,Physics,Leon Neil Cooper,1930-02-28,United States of America,
1972,Physics,John Robert Schrieffer,1931-05-31,United States of America,
1973,Chemistry,Ernst Otto Fischer,1918-11-10,Germany,Germany
1973,Chemistry,Geoffrey Wilkinson,1921-07-14,United Kingdom,United Kingdom
1973,Economics,Wassily Leontief,1906-08-05,Russia,United States of America
1973,Literature,Patrick White,1912-05-28,United Kingdom,Australia
1973,Medicine,Karl von Frisch,1886-11-20,Austria,West Germany (Germany)
1973,Medicine,Konrad Lorenz,1903-11-07,Austria,Austria
1973,Medicine,Nikolaas Tinbergen,1907-04-15,Netherlands,United Kingdom
1973,Peace,Henry A. Kissinger,1923-05-27,Germany,
1973,Peace,Le Duc Tho,1911-10-14,Vietnam,Vietnam
1973,Physics,Leo Esaki,1925-03-12,Japan,
1973,Physics,Ivar Giaever,1929-04-05,Norway,
1973,Physics,Brian David Josephson,1940-01-04,United Kingdom,
1974,Chemistry,Paul J. Flory,1910-06-19,United States of America,United States of America
1974,Economics,Gunnar Myrdal,1898-12-06,Sweden,Sweden
1974,Economics,Friedrich August von Hayek,1899-05-08,Austria,Germany
1974,Literature,Eyvind Johnson,1900-07-29,Sweden,Sweden
1974,Literature,Harry Martinson,1904-05-06,Sweden,Sweden
1974,Medicine,Albert Claude,1898-08-24,Belgium,Belgium
1974,Medicine,Christian de Duve,1917-10-02,United Kingdom,Belgium
1974,Medicine,Christian de Duve,1917-10-02,United Kingdom,Belgium
1974,Medicine,George E. Palade,1912-11-19,Romania,United States of America
1974,Peace,Seán MacBride,1904-01-26,France,Ireland
1974,Peace,Eisaku Sato,1901-03-27,Japan,Japan
1974,Physics,Sir Martin Ryle,1918-09-27,United Kingdom,United Kingdom
1974,Physics,Antony Hewish,1924-05-11,United Kingdom,
1975,Chemistry,John Warcup Cornforth,1917-09-07,Australia,
1975,Chemistry,Vladimir Prelog,1906-07-23,Austria-Hungary (Bosnia and Herzegovina),Switzerland
1975,Economics,Leonid Vitaliyevich Kantorovich,1912-01-19,Russian Empire (Russia),Union of Soviet Socialist Republics (Russia)
1975,Economics,Tjalling C. Koopmans,1910-08-28,Netherlands,United States of America
1975,Literature,Eugenio Montale,1896-10-12,Italy,Italy
1975,Medicine,David Baltimore,1938-03-07,United States of America,
1975,Medicine,Renato Dulbecco,1914-02-22,Italy,United States of America
1975,Medicine,Howard Martin Temin,1934-12-10,United States of America,United States of America
1975,Peace,Andrei Dmitrievich Sakharov,1921-05-21,Russia,Union of Soviet Socialist Republics (Russia)
1975,Physics,Aage Niels Bohr,1922-06-19,Denmark,Denmark
1975,Physics,Ben Roy Mottelson,1926-07-09,United States of America,
1975,Physics,Leo James Rainwater,1917-12-09,United States of America,United States of America
1976,Chemistry,William N. Lipscomb,1919-12-09,United States of America,United States of America
1976,Economics,Milton Friedman,1912-07-31,United States of America,United States of America
1976,Literature,Saul Bellow,1915-06-10,Canada,United States of America
1976,Medicine,Baruch S. Blumberg,1925-07-28,United States of America,United States of America
1976,Medicine,D. Carleton Gajdusek,1923-09-09,United States of America,Norway
1976,Peace,Betty Williams,1943-05-22,Northern Ireland,
1976,Peace,Mairead Corrigan,1944-01-27,Northern Ireland,
1976,Physics,Burton Richter,1931-03-22,United States of America,
1976,Physics,Samuel Chao Chung Ting,1936-01-27,United States of America,
1977,Chemistry,Ilya Prigogine,1917-01-25,Russia,Belgium
1977,Chemistry,Ilya Prigogine,1917-01-25,Russia,Belgium
1977,Economics,Bertil Ohlin,1899-04-23,Sweden,Sweden
1977,Economics,James E. Meade,1907-06-23,United Kingdom,United Kingdom
1977,Literature,Vicente Aleixandre,1898-04-26,Spain,Spain
1977,Medicine,Roger Guillemin,1924-01-11,France,
1977,Medicine,Andrew V. Schally,1926-11-30,Poland (Lithuania),
1977,Medicine,Rosalyn Yalow,1921-07-19,United States of America,United States of America
1977,Peace,Amnesty International,,,
1977,Physics,Philip Warren Anderson,1923-12-13,United States of America,
1977,Physics,Sir Nevill Francis Mott,1905-09-30,United Kingdom,United Kingdom
1977,Physics,John Hasbrouck van Vleck,1899-03-13,United States of America,United States of America
1978,Chemistry,Peter D. Mitchell,1920-09-29,United Kingdom,United Kingdom
1978,Economics,Herbert A. Simon,1916-06-15,United States of America,United States of America
1978,Literature,Isaac Bashevis Singer,1904-07-14,Russian Empire (Poland),United States of America
1978,Medicine,Werner Arber,1929-06-03,Switzerland,
1978,Medicine,Daniel Nathans,1928-10-30,United States of America,United States of America
1978,Medicine,Hamilton O. Smith,1931-08-23,United States of America,
1978,Peace,Mohamed Anwar al-Sadat,1918-12-25,Egypt,Egypt
1978,Peace,Menachem Begin,1913-08-16,Russian Empire (Belarus),Israel
1978,Physics,Pyotr Leonidovich Kapitsa,1894-07-09,Russian Empire (Russia),Union of Soviet Socialist Republics (Russia)
1978,Physics,Arno Allan Penzias,1933-04-26,Germany,
1978,Physics,Robert Woodrow Wilson,1936-01-10,United States of America,
1979,Chemistry,Herbert C. Brown,1912-05-22,United Kingdom,United States of America
1979,Chemistry,Georg Wittig,1897-06-16,Germany,West Germany (Germany)
1979,Economics,Theodore W. Schultz,1902-04-30,United States of America,United States of America
1979,Economics,Sir Arthur Lewis,1915-01-23,British West Indies (Saint Lucia),Barbados
1979,Literature,Odysseus Elytis,1911-11-02,Crete (Greece),Greece
1979,Medicine,Allan M. Cormack,1924-02-23,South Africa,United States of America
1979,Medicine,Godfrey N. Hounsfield,1919-08-28,United Kingdom,United Kingdom
1979,Peace,Mother Teresa,1910-08-26,Ottoman Empire (Republic of Macedonia),India
1979,Physics,Sheldon Lee Glashow,1932-12-05,United States of America,
1979,Physics,Abdus Salam,1926-01-29,India (Pakistan),United Kingdom
1979,Physics,Abdus Salam,1926-01-29,India (Pakistan),United Kingdom
1979,Physics,Steven Weinberg,1933-05-03,United States of America,
1980,Chemistry,Frederick Sanger,1918-08-13,United Kingdom,United Kingdom
1980,Chemistry,Paul Berg,1926-06-30,United States of America,
1980,Chemistry,Walter Gilbert,1932-03-21,United States of America,
1980,Economics,Lawrence R. Klein,1920-09-14,United States of America,United States of America
1980,Literature,Czeslaw Milosz,1911-06-30,Russian Empire (Lithuania),Poland
1980,Medicine,Baruj Benacerraf,1920-10-29,Venezuela,United States of America
1980,Medicine,Jean Dausset,1916-10-19,France,Spain
1980,Medicine,George D. Snell,1903-12-19,United States of America,United States of America
1980,Peace,Adolfo Pérez Esquivel,1931-11-26,Argentina,
1980,Physics,James Watson Cronin,1931-09-29,United States of America,United States of America
1980,Physics,Val Logsdon Fitch,1923-03-10,United States of America,United States of America
1981,Chemistry,Kenichi Fukui,1918-10-04,Japan,Japan
1981,Chemistry,Roald Hoffmann,1937-07-18,Poland (Ukraine),
1981,Economics,James Tobin,1918-03-05,United States of America,United States of America
1981,Literature,Elias Canetti,1905-07-25,Bulgaria,Switzerland
1981,Medicine,Roger W. Sperry,1913-08-20,United States of America,United States of America
1981,Medicine,David H. Hubel,1926-02-27,Canada,United States of America
1981,Medicine,Torsten N. Wiesel,1924-06-03,Sweden,
1981,Peace,Office of the United Nations High Commissioner for Refugees (UNHCR),,,
1981,Physics,Nicolaas Bloembergen,1920-03-11,Netherlands,
1981,Physics,Arthur Leonard Schawlow,1921-05-05,United States of America,United States of America
1981,Physics,Kai M. Siegbahn,1918-04-20,Sweden,Sweden
1982,Chemistry,Aaron Klug,1926-08-11,Lithuania,
1982,Economics,George J. Stigler,1911-01-17,United States of America,United States of America
1982,Literature,Gabriel García Márquez,1927-03-06,Colombia,Mexico
1982,Medicine,Sune K. Bergström,1916-01-10,Sweden,Sweden
1982,Medicine,Bengt I. Samuelsson,1934-05-21,Sweden,
1982,Medicine,John R. Vane,1927-03-29,United Kingdom,United Kingdom
1982,Peace,Alva Myrdal,1902-01-31,Sweden,Sweden
1982,Peace,Alfonso García Robles,1911-03-20,Mexico,Mexico
1982,Physics,Kenneth G. Wilson,1936-06-08,United States of America,United States of America
1983,Chemistry,Henry Taube,1915-11-30,Canada,United States of America
1983,Economics,Gerard Debreu,1921-07-04,France,France
1983,Literature,William Golding,1911-09-19,United Kingdom,United Kingdom
1983,Medicine,Barbara McClintock,1902-06-16,United States of America,United States of America
1983,Peace,Lech Walesa,1943-09-29,Poland,
1983,Physics,Subramanyan Chandrasekhar,1910-10-19,India (Pakistan),United States of America
1983,Physics,William Alfred Fowler,1911-08-09,United States of America,United States of America
1984,Chemistry,Robert Bruce Merrifield,1921-07-15,United States of America,United States of America
1984,Economics,Richard Stone,1913-08-30,United Kingdom,United Kingdom
1984,Literature,Jaroslav Seifert,1901-09-23,Austria-Hungary (Czech Republic),Czechoslovakia
1984,Medicine,Niels K. Jerne,1911-12-23,United Kingdom,France
1984,Medicine,Georges J.F. Köhler,1946-04-17,Germany,Germany
1984,Medicine,César Milstein,1927-10-08,Argentina,United Kingdom
1984,Peace,Desmond Mpilo Tutu,1931-10-07,South Africa,
1984,Physics,Carlo Rubbia,1934-03-31,Italy,Switzerland
1984,Physics,Simon van der Meer,1925-11-24,Netherlands,Switzerland
1985,Chemistry,Herbert A. Hauptman,1917-02-14,United States of America,United States of America
1985,Chemistry,Jerome Karle,1918-06-18,United States of America,
1985,Economics,Franco Modigliani,1918-06-18,Italy,United States of America
1985,Literature,Claude Simon,1913-10-10,Madagascar,France
1985,Medicine,Michael S. Brown,1941-04-13,United States of America,
1985,Medicine,Joseph L. Goldstein,1940-04-18,United States of America,
1985,Peace,International Physicians for the Prevention of Nuclear War,,,
1985,Physics,Klaus von Klitzing,1943-06-28,German-occupied Poland (Poland),
1986,Chemistry,Dudley R. Herschbach,1932-06-18,United States of America,
1986,Chemistry,Yuan T. Lee,1936-11-19,Taiwan,
1986,Chemistry,John C. Polanyi,1929-01-23,Germany,
1986,Economics,James M. Buchanan Jr.,1919-10-03,United States of America,United States of America
1986,Literature,Wole Soyinka,1934-07-13,Nigeria,
1986,Medicine,Stanley Cohen,1922-11-17,United States of America,
1986,Medicine,Rita Levi-Montalcini,1909-04-22,Italy,Italy
1986,Peace,Elie Wiesel,1928-09-30,Romania,United States of America
1986,Physics,Ernst Ruska,1906-12-25,Germany,Germany
1986,Physics,Gerd Binnig,1947-07-20,West Germany (Germany),
1986,Physics,Heinrich Rohrer,1933-06-06,Switzerland,Switzerland
1987,Chemistry,Donald J. Cram,1919-04-22,United States of America,United States of America
1987,Chemistry,Jean-Marie Lehn,1939-09-30,France,
1987,Chemistry,Jean-Marie Lehn,1939-09-30,France,
1987,Chemistry,Charles J. Pedersen,1904-10-03,Korea (South Korea),United States of America
1987,Economics,Robert M. Solow,1924-08-23,United States of America,
1987,Literature,Joseph Brodsky,1940-05-24,Union of Soviet Socialist Republics (Russia),United States of America
1987,Medicine,Susumu Tonegawa,1939-09-06,Japan,
1987,Peace,Oscar Arias Sánchez,1941-09-13,Costa Rica,
1987,Physics,J. Georg Bednorz,1950-05-16,West Germany (Germany),
1987,Physics,K. Alexander Müller,1927-04-20,Switzerland,
1988,Chemistry,Johann Deisenhofer,1943-09-30,Germany,
1988,Chemistry,Johann Deisenhofer,1943-09-30,Germany,
1988,Chemistry,Robert Huber,1937-02-20,Germany,
1988,Chemistry,Hartmut Michel,1948-07-18,West Germany (Germany),
1988,Economics,Maurice Allais,1911-05-31,France,France
1988,Literature,Naguib Mahfouz,1911-12-11,Egypt,Egypt
1988,Medicine,Sir James W. Black,1924-06-14,Scotland,
1988,Medicine,Gertrude B. Elion,1918-01-23,United States of America,United States of America
1988,Medicine,George H. Hitchings,1905-04-18,United States of America,United States of America
1988,Peace,United Nations Peacekeeping Forces,,,
1988,Physics,Leon M. Lederman,1922-07-15,United States of America,
1988,Physics,Melvin Schwartz,1932-11-02,United States of America,United States of America
1988,Physics,Jack Steinberger,1921-05-25,Germany,
1989,Chemistry,Sidney Altman,1939-05-07,Canada,
1989,Chemistry,Thomas R. Cech,1947-12-08,United States of America,
1989,Economics,Trygve Haavelmo,1911-12-13,Norway,Norway
1989,Literature,Camilo José Cela,1916-05-11,Spain,Spain
1989,Medicine,J. Michael Bishop,1936-02-22,United States of America,
1989,Medicine,Harold E. Varmus,1939-12-18,United States of America,
1989,Peace,The 14th Dalai Lama (Tenzin Gyatso),1935-07-06,Tibet (People's Republic of China),
1989,Physics,Norman F. Ramsey,1915-08-27,United States of America,United States of America
1989,Physics,Hans G. Dehmelt,1922-09-09,Prussia (Germany),
1989,Physics,Wolfgang Paul,1913-08-10,Germany,Germany
1990,Chemistry,Elias James Corey,1928-07-12,United States of America,
1990,Economics,Harry M. Markowitz,1927-08-24,United States of America,
1990,Economics,Merton H. Miller,1923-05-16,United States of America,United States of America
1990,Economics,William F. Sharpe,1934-06-16,United States of America,
1990,Literature,Octavio Paz,1914-03-31,Mexico,Mexico
1990,Medicine,Joseph E. Murray,1919-04-01,United States of America,United States of America
1990,Medicine,E. Donnall Thomas,1920-03-15,United States of America,United States of America
1990,Peace,Mikhail Sergeyevich Gorbachev,1931-03-02,Union of Soviet Socialist Republics (Russia),
1990,Physics,Jerome I. Friedman,1930-03-28,United States of America,
1990,Physics,Henry W. Kendall,1926-12-09,United States of America,United States of America
1990,Physics,Richard E. Taylor,1929-11-02,Canada,
1991,Chemistry,Richard R. Ernst,1933-08-14,Switzerland,
1991,Economics,Ronald H. Coase,1910-12-29,United Kingdom,United States of America
1991,Literature,Nadine Gordimer,1923-11-20,South Africa,South Africa
1991,Medicine,Erwin Neher,1944-03-20,Germany,
1991,Medicine,Bert Sakmann,1942-06-12,Germany,
1991,Peace,Aung San Suu Kyi,1945-06-19,Burma (Myanmar),
1991,Physics,Pierre-Gilles de Gennes,1932-10-24,France,France
1992,Chemistry,Rudolph A. Marcus,1923-07-21,Canada,
1992,Economics,Gary S. Becker,1930-12-02,United States of America,United States of America
1992,Literature,Derek Walcott,1930-01-23,Saint Lucia,
1992,Medicine,Edmond H. Fischer,1920-04-06,China,
1992,Medicine,Edwin G. Krebs,1918-06-06,United States of America,United States of America
1992,Peace,Rigoberta Menchú Tum,1959-01-09,Guatemala,
1992,Physics,Georges Charpak,1924-08-01,Poland,France
1992,Physics,Georges Charpak,1924-08-01,Poland,France
1993,Chemistry,Kary B. Mullis,1944-12-28,United States of America,
1993,Chemistry,Michael Smith,1932-04-26,United Kingdom,Canada
1993,Economics,Robert W. Fogel,1927-07-01,United States of America,United States of America
1993,Economics,Douglass C. North,1920-11-05,United States of America,United States of America
1993,Literature,Toni Morrison,1931-02-18,United States of America,
1993,Medicine,Richard J. Roberts,1943-09-06,United Kingdom,
1993,Medicine,Phillip A. Sharp,1944-06-06,United States of America,
1993,Peace,Nelson Mandela,1918-07-18,South Africa,South Africa
1993,Peace,Frederik Willem de Klerk,1936-03-18,South Africa,
1993,Physics,Russell A. Hulse,1950-11-28,United States of America,
1993,Physics,Joseph H. Taylor Jr.,1941-03-29,United States of America,
1994,Chemistry,George A. Olah,1927-05-22,Hungary,
1994,Economics,John C. Harsanyi,1920-05-29,Hungary,United States of America
1994,Economics,John F. Nash Jr.,1928-06-13,United States of America,United States of America
1994,Economics,Reinhard Selten,1930-10-05,Germany (Poland),Poland
1994,Literature,Kenzaburo Oe,1935-01-31,Japan,
1994,Medicine,Alfred G. Gilman,1941-07-01,United States of America,United States of America
1994,Medicine,Martin Rodbell,1925-12-01,United States of America,United States of America
1994,Peace,Yasser Arafat,1929-08-24,Egypt,
1994,Peace,Shimon Peres,1923-08-16,Poland (Belarus),Israel
1994,Peace,Yitzhak Rabin,1922-03-01,British Mandate of Palestine (Israel),Israel
1994,Physics,Bertram N. Brockhouse,1918-07-15,Canada,Canada
1994,Physics,Clifford G. Shull,1915-09-23,United States of America,United States of America
1995,Chemistry,Paul J. Crutzen,1933-12-03,Netherlands,
1995,Chemistry,Mario J. Molina,1943-03-19,Mexico,
1995,Chemistry,F. Sherwood Rowland,1927-06-28,United States of America,United States of America
1995,Economics,Robert E. Lucas Jr.,1937-09-15,United States of America,
1995,Literature,Seamus Heaney,1939-04-13,Northern Ireland,Ireland
1995,Medicine,Edward B. Lewis,1918-05-20,United States of America,United States of America
1995,Medicine,Christiane Nüsslein-Volhard,1942-10-20,Germany,
1995,Medicine,Eric F. Wieschaus,1947-06-08,United States of America,
1995,Peace,Joseph Rotblat,1908-11-04,Russian Empire (Poland),United Kingdom
1995,Peace,Pugwash Conferences on Science and World Affairs,,,
1995,Physics,Martin L. Perl,1927-06-24,United States of America,United States of America
1995,Physics,Frederick Reines,1918-03-16,United States of America,United States of America
1996,Chemistry,Robert F. Curl Jr.,1933-08-23,United States of America,
1996,Chemistry,Sir Harold W. Kroto,1939-10-07,United Kingdom,United Kingdom
1996,Chemistry,Richard E. Smalley,1943-06-06,United States of America,United States of America
1996,Economics,James A. Mirrlees,1936-07-05,Scotland,
1996,Economics,William Vickrey,1914-06-21,Canada,United States of America
1996,Literature,Wislawa Szymborska,1923-07-02,Poland,Poland
1996,Medicine,Peter C. Doherty,1940-10-15,Australia,
1996,Medicine,Rolf M. Zinkernagel,1944-01-06,Switzerland,
1996,Peace,Carlos Filipe Ximenes Belo,1948-02-03,East Timor,
1996,Peace,José Ramos-Horta,1949-12-26,East Timor,
1996,Physics,David M. Lee,1931-01-20,United States of America,
1996,Physics,Douglas D. Osheroff,1945-08-01,United States of America,
1996,Physics,Robert C. Richardson,1937-06-26,United States of America,United States of America
1997,Chemistry,Paul D. Boyer,1918-07-31,United States of America,
1997,Chemistry,John E. Walker,1941-01-07,United Kingdom,
1997,Chemistry,Jens C. Skou,1918-10-08,Denmark,
1997,Economics,Robert C. Merton,1944-07-31,United States of America,
1997,Economics,Myron S. Scholes,1941-07-01,Canada,
1997,Literature,Dario Fo,1926-03-24,Italy,Italy
1997,Medicine,Stanley B. Prusiner,1942-05-28,United States of America,
1997,Peace,International Campaign to Ban Landmines (ICBL),,,
1997,Peace,Jody Williams,1950-10-09,United States of America,
1997,Physics,Steven Chu,1948-02-28,United States of America,
1997,Physics,Claude Cohen-Tannoudji,1933-04-01,French Algeria (Algeria),
1997,Physics,Claude Cohen-Tannoudji,1933-04-01,French Algeria (Algeria),
1997,Physics,William D. Phillips,1948-11-05,United States of America,
1998,Chemistry,Walter Kohn,1923-03-09,Austria,United States of America
1998,Chemistry,John A. Pople,1925-10-31,United Kingdom,United States of America
1998,Economics,Amartya Sen,1933-11-03,India,
1998,Literature,José Saramago,1922-11-16,Portugal,Spain
1998,Medicine,Robert F. Furchgott,1916-06-04,United States of America,United States of America
1998,Medicine,Louis J. Ignarro,1941-05-31,United States of America,
1998,Medicine,Ferid Murad,1936-09-14,United States of America,
1998,Peace,John Hume,1937-01-18,Northern Ireland,
1998,Peace,David Trimble,1944-10-15,Northern Ireland,
1998,Physics,Robert B. Laughlin,1950-11-01,United States of America,
1998,Physics,Horst L. Störmer,1949-04-06,West Germany (Germany),
1998,Physics,Daniel C. Tsui,1939-02-28,China,
1999,Chemistry,Ahmed H. Zewail,1946-02-26,Egypt,
1999,Economics,Robert A. Mundell,1932-10-24,Canada,
1999,Literature,Günter Grass,1927-10-16,Free City of Danzig (Poland),Germany
1999,Medicine,Günter Blobel,1936-05-21,Germany (Poland),
1999,Medicine,Günter Blobel,1936-05-21,Germany (Poland),
1999,Peace,Médecins Sans Frontières,,,
1999,Physics,Gerardus 't Hooft,1946-07-05,Netherlands,
1999,Physics,Martinus J.G. Veltman,1931-06-27,Netherlands,
2000,Chemistry,Alan J. Heeger,1936-01-22,United States of America,
2000,Chemistry,Alan G. MacDiarmid,1927-04-14,New Zealand,United States of America
2000,Chemistry,Hideki Shirakawa,1936-08-20,Japan,
2000,Economics,James J. Heckman,1944-04-19,United States of America,
2000,Economics,Daniel L. McFadden,1937-07-29,United States of America,
2000,Literature,Gao Xingjian,1940-01-04,China,
2000,Medicine,Arvid Carlsson,1923-01-25,Sweden,
2000,Medicine,Paul Greengard,1925-12-11,United States of America,
2000,Medicine,Eric R. Kandel,1929-11-07,Austria,
2000,Peace,Kim Dae-jung,1925-12-03,Korea (South Korea),
2000,Physics,Zhores I. Alferov,1930-03-15,Union of Soviet Socialist Republics (Belarus),
2000,Physics,Herbert Kroemer,1928-08-25,Germany,
2000,Physics,Jack S. Kilby,1923-11-08,United States of America,United States of America
2001,Chemistry,William S. Knowles,1917-06-01,United States of America,United States of America
2001,Chemistry,Ryoji Noyori,1938-09-03,Japan,
2001,Chemistry,K. Barry Sharpless,1941-04-28,United States of America,
2001,Economics,George A. Akerlof,1940-06-17,United States of America,
2001,Economics,A. Michael Spence,1943-00-00,United States of America,
2001,Economics,Joseph E. Stiglitz,1943-02-09,United States of America,
2001,Literature,Sir Vidiadhar Surajprasad Naipaul,1932-08-17,Trinidad,
2001,Medicine,Leland H. Hartwell,1939-10-30,United States of America,
2001,Medicine,Tim Hunt,1943-02-19,United Kingdom,
2001,Medicine,Sir Paul M. Nurse,1949-01-25,United Kingdom,
2001,Peace,United Nations (U.N.),,,
2001,Peace,Kofi Annan,1938-04-08,Gold Coast (Ghana),
2001,Physics,Eric A. Cornell,1961-12-19,United States of America,
2001,Physics,Wolfgang Ketterle,1957-10-21,West Germany (Germany),
2001,Physics,Carl E. Wieman,1951-03-26,United States of America,
2002,Chemistry,John B. Fenn,1917-06-15,United States of America,United States of America
2002,Chemistry,Koichi Tanaka,1959-08-03,Japan,
2002,Chemistry,Kurt Wüthrich,1938-10-04,Switzerland,
2002,Chemistry,Kurt Wüthrich,1938-10-04,Switzerland,
2002,Economics,Daniel Kahneman,1934-03-05,British Mandate of Palestine (Israel),
2002,Economics,Vernon L. Smith,1927-01-01,United States of America,
2002,Literature,Imre Kertész,1929-11-09,Hungary,Hungary
2002,Medicine,Sydney Brenner,1927-01-13,South Africa,
2002,Medicine,H. Robert Horvitz,1947-05-08,United States of America,
2002,Medicine,John E. Sulston,1942-03-27,United Kingdom,
2002,Peace,Jimmy Carter,1924-10-01,United States of America,
2002,Physics,Raymond Davis Jr.,1914-10-14,United States of America,United States of America
2002,Physics,Masatoshi Koshiba,1926-09-19,Japan,
2002,Physics,Riccardo Giacconi,1931-10-06,Italy,
2003,Chemistry,Peter Agre,1949-01-30,United States of America,
2003,Chemistry,Roderick MacKinnon,1956-02-19,United States of America,
